ingredient_id,recipe_id,name
1,1,3 tablespoons butter
2,1,2 pounds granny smith apples (or other firm
3,1,crisp apples)
4,1,peeled
5,1,quartered
6,1,cored and sliced 1/4-inch thick
7,1,1 pound macintosh apples (or other soft-textured apples that fall apart when cooked)
4,1,peeled
5,1,quartered
8,1,cored
9,1,and sliced 1/4-inch thick
10,1,½ cup sugar
11,1,½ cup dried cranberries
12,1,1 sheet frozen puff pastry
13,1,thawed but still cold (follow package directions)
14,1,1  egg white
15,1,lightly beaten
16,1,1 tablespoon sugar
17,1,1 cup optional: ice cream or lightly sweetened whipped cream
18,2,8 small granny smith apples
19,2,or as needed
20,2,½ cup unsalted butter
21,2,3 tablespoons all-purpose flour
22,2,½ cup white sugar
23,2,½ cup packed brown sugar
24,2,¼ cup water
25,2,1 (9 inch) double-crust pie pastry
26,2,thawed
27,3,4  apples - peeled
28,3,cored and chopped
29,3,¾ cup water
30,3,¼ cup white sugar
31,3,½ teaspoon ground cinnamon
32,4,10 cups all-purpose apples
4,4,peeled
33,4,cored and sliced
34,4,1 cup white sugar
35,4,1 tablespoon all-purpose flour
36,4,1 teaspoon ground cinnamon
37,4,½ cup water
38,4,1 cup quick-cooking oats
39,4,1 cup all-purpose flour
40,4,1 cup packed brown sugar
41,4,¼ teaspoon baking powder
42,4,¼ teaspoon baking soda
43,4,½ cup butter
44,4,melted
45,5,18 cups thinly sliced apples
46,5,3 tablespoons lemon juice
47,5,10 cups water
48,5,4 ½ cups white sugar
49,5,1 cup cornstarch
50,5,2 teaspoons ground cinnamon
51,5,1 teaspoon salt
52,5,¼ teaspoon ground nutmeg
53,6,6  apples - peeled
8,6,cored
54,6,and sliced
55,6,2 tablespoons white sugar
56,6,1 ½ teaspoons ground cinnamon
57,6,divided
58,6,1 cup brown sugar
59,6,¾ cup old-fashioned oats
60,6,¾ cup all-purpose flour
61,6,½ cup cold butter
62,7,1 (64 fluid ounce) bottle apple cider
63,7,3  cinnamon sticks
64,7,1 teaspoon whole allspice
65,7,1 teaspoon whole cloves
66,7,⅓ cup brown sugar
67,8,2 pounds granny smith apples - peeled
68,8,cored and thinly sliced
69,8,¾ cup cranberries
30,8,¼ cup white sugar
70,8,1 tablespoon ground cinnamon
71,8,1 teaspoon ground nutmeg
72,9,1 recipe pastry for double-crust pie
73,9,6 large granny smith apples
74,9,peeled and cored
43,9,½ cup butter
75,9,¾ cup brown sugar
36,9,1 teaspoon ground cinnamon
76,9,½ teaspoon ground nutmeg
77,9,3 cups water
78,9,2 cups white sugar
79,9,1 teaspoon vanilla extract
43,10,½ cup butter
22,10,½ cup white sugar
80,10,2 tablespoons ground cinnamon
81,10,4  granny smith apples - peeled
8,10,cored
54,10,and sliced
82,11,2 tablespoons lemon juice
83,11,4 cups water
81,11,4  granny smith apples - peeled
33,11,cored and sliced
84,11,2 tablespoons butter
58,11,1 cup brown sugar
36,11,1 teaspoon ground cinnamon
85,11,1 tablespoon cornstarch
86,11,1 tablespoon water
87,11,1 (17.25 ounce) package frozen puff pastry sheets
26,11,thawed
88,11,1 cup confectioners' sugar
89,11,1 tablespoon milk
79,11,1 teaspoon vanilla extract
90,12,2 ½ cups apples - peeled
8,12,cored
54,12,and sliced
91,12,1 cup sifted all-purpose flour
34,12,1 cup white sugar
31,12,½ teaspoon ground cinnamon
92,12,¼ teaspoon salt
43,12,½ cup butter
93,12,softened
94,13,8 large tart apples
95,13,8  wooden chopsticks for handles
96,13,2 cups packed brown sugar
97,13,1 (14 ounce) can sweetened condensed milk
98,13,1 cup light corn syrup
99,13,1 cup butter
100,13,2 teaspoons vanilla extract
101,14,½ cup chopped onion
102,14,2 stalks celery
103,14,chopped
104,14,1  carrot
105,14,diced
106,14,¼ cup butter
107,14,1 ½ tablespoons all-purpose flour
108,14,1 ½ teaspoons curry powder
109,14,4 cups chicken broth
110,14,½  apple
28,14,cored and chopped
111,14,¼ cup white rice
112,14,1  skinless
113,14,boneless chicken breast half - cut into cubes
114,14,1 pinch dried thyme
115,14,salt and ground black pepper to taste
116,14,½ cup heavy cream
117,14,heated
106,15,¼ cup butter
118,15,4 large tart apples - peeled
119,15,cored and sliced 1/4 inch thick
120,15,½ cup cold water
121,15,2 teaspoons cornstarch
122,15,½ cup brown sugar
31,15,½ teaspoon ground cinnamon
123,16,10 large apples
5,16,quartered
124,16,water
125,16,to cover
126,16,¾ cup white sugar
70,16,1 tablespoon ground cinnamon
127,16,1 tablespoon ground allspice
48,17,4 ½ cups white sugar
49,17,1 cup cornstarch
50,17,2 teaspoons ground cinnamon
52,17,¼ teaspoon ground nutmeg
47,17,10 cups water
128,17,2 teaspoons salt
46,17,3 tablespoons lemon juice
129,17,2 drops yellow food coloring
130,17,6 pounds apples
131,18,1 (14.1 ounce) package pastry for a 9-inch double-crust pie
126,18,¾ cup white sugar
132,18,or more to taste
36,18,1 teaspoon ground cinnamon
133,18,6 cups thinly sliced apples
134,18,1 tablespoon butter
133,19,6 cups thinly sliced apples
135,19,1 tablespoon lemon juice (optional)
126,19,¾ cup white sugar
136,19,2 tablespoons all-purpose flour
31,19,½ teaspoon ground cinnamon
137,19,⅛ teaspoon ground nutmeg
138,19,½ cup raisins (optional)
139,19,½ cup chopped walnuts (optional)
140,19,1 (9 inch) pie shell
141,19,½ cup all-purpose flour
23,19,½ cup packed brown sugar
1,19,3 tablespoons butter
142,20,6  apples
143,20,6  wooden craft sticks
144,20,cooking spray
145,20,1 (14 ounce) package individually wrapped caramels
146,20,unwrapped
147,20,2 tablespoons milk
148,21,1 cup vegetable oil
149,21,2  eggs
78,21,2 cups white sugar
79,21,1 teaspoon vanilla extract
150,21,2 cups all-purpose flour
50,21,2 teaspoons ground cinnamon
151,21,1 teaspoon baking soda
152,21,½ teaspoon salt
153,21,4 cups apples - peeled
154,21,cored and diced
155,22,3 ¾ cups cubed white bread
156,22,1 ½ cups cubed whole wheat bread
157,22,1 pound ground turkey sausage
158,22,1 cup chopped onion
159,22,¾ cup chopped celery
160,22,2 ½ teaspoons dried sage
161,22,1 ½ teaspoons dried rosemary
162,22,½ teaspoon dried thyme
163,22,1  golden delicious apple
28,22,cored and chopped
164,22,¾ cup dried cranberries
165,22,⅓ cup minced fresh parsley
166,22,1  cooked turkey liver
167,22,finely chopped
168,22,¾ cup turkey stock
169,22,4 tablespoons unsalted butter
44,22,melted
84,23,2 tablespoons butter
170,23,2 large green apples - peeled
8,23,cored
171,23,and cut into chunks
172,23,2 tablespoons brown sugar
30,23,¼ cup white sugar
92,23,¼ teaspoon salt
56,23,1 ½ teaspoons ground cinnamon
173,23,or to taste
174,23,1 teaspoon water
175,23,or more if needed (optional)
176,23,1 pound prepared pie dough
177,23,cut into 4 pieces
178,23,1  egg
179,23,2 teaspoons milk
180,23,1 teaspoon white sugar
19,23,or as needed
181,24,10 pounds apples
5,24,quartered
182,24,4 cups unsweetened apple juice
34,24,1 cup white sugar
183,24,1 tablespoon apple cider vinegar
56,24,1 ½ teaspoons ground cinnamon
184,24,½ teaspoon ground cloves
185,24,½ teaspoon ground allspice
186,24,6  half-pint canning jars with lids and rings
187,25,1 ½ cups all-purpose flour
126,25,¾ cup white sugar
